,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM70SCRf389c812343c4c57a1305ef51949bb81_From_NR113323_1_description_Clostridium_bifermentans_strain_JCM_1386_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_bifermentans_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_ncbitaxid_1490,5.0,3.0,11.0,10.0,5.0
CC11CM47SCR91ac1214c3ab496888854c69ac32e655_From_HQ457025_1_1483_description_HQ457025_1_1483_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacterium_prausnitzii_organism_Faecalibacterium_prausnitzii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_ncbitaxid_853,1.0,1.0,1.0,1.0,17.0
CC11CM69SCRae59daad623040a98064e09e73b110c6_From_LC010692_1_1492_description_LC010692_1_1492_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautia_luti_organism_Blautia_luti_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_89014,4.0,8.0,5.0,1.0,9.0
CC11CM71SCRc39f651e16434b8db9bfe9759dae923b_From_NR104846_1_description_Gemmiger_formicilis_strain_X2_56_16S_ribosomal_RNA_gene_partial_sequence_organism_Gemmiger_formicilis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger_ncbitaxid_745368,1.0,1.0,1.0,1.0,10.0
CC11CM34SCRb128053d50094d7ea4e68585d84a8c79_From_NR112894_1_description_Bacteroides_fluxus_strain_YIT_12057_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_fluxus_YIT_12057_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_763034,3.0,1.0,3.0,3.0,1.0
CC11CM27SCRf0598ae80a164ff4b21898dc9ee12fa9_From_NR132596_1_description_Klebsiella_alba_strain_CW_D_3_16S_ribosomal_RNA_partial_sequence_organism_Klebsiella_alba_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Klebsiella_ncbitaxid_415850,20.0,20.0,19.0,1.0,5.0
CC11CM51SCRaa66d6f14a994c1d87c367aa832fcf8a_From_AY148470_1_1523_description_AY148470_1_1523_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium_thermacidophilum_subsp_porcinum_organism_Bifidobacterium_thermacidophilum_taxonomy_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_ncbitaxid_1678,10.0,4.0,1.0,13.0,3.0
CC11CM58SCRd8d60673bb344327a4f8ada4830968d0_From_AY850120_1_1401_description_AY850120_1_1401_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_Dialister_propionicifaciens_organism_Dialister_propionicifaciens_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_ncbitaxid_308994,9.0,5.0,3.0,13.0,7.0
CC11CM64SCR8bf18e36f07b4912aa3a252223b5812a_From_NR117867_1_description_Blautia_stercoris_strain_GAM6_1_16S_ribosomal_RNA_gene_partial_sequence_organism_Blautia_stercoris_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_871664,5.0,1.0,6.0,1.0,11.0
CC11CM13SCRa8f1ca476e42476da8289b732bff5e0d_From_AB661433_1_1495_description_AB661433_1_1495_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_Roseburia_faecis_organism_Roseburia_faecis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_ncbitaxid_301302,5.0,5.0,10.0,1.0,9.0
CC11CM22SCR96839f4b25ec4795bff9526a4592ccf1_From_NR074343_1_description_Clostridium_novyi_NT_strain_N_16S_ribosomal_RNA_complete_sequence_organism_Clostridium_novyi_NT_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_ncbitaxid_386415,3.0,1.0,1.0,9.0,9.0
CC11CM30SCRb0149d30bf8c4f0d86af9526448d9ac1_From_HM626177_1_1372_description_HM626177_1_1372_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautia_stercoris_organism_Blautia_stercoris_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_871664,5.0,1.0,6.0,1.0,11.0
CC11CM79SCRe688159512924d2495ec2765a93d3fd2_From_FW350124_11_1553_description_FW350124_11_1553_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Megasphaera_Megasphaera_paucivorans_organism_Megasphaera_paucivorans_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Megasphaera_ncbitaxid_349095,3.0,1.0,3.0,17.0,8.0
CC11CM11SCRe3b1d0bfa8e14737a47d75a5df72d867_From_NR041778_1_description_Desulfovibrio_piger_strain_ATCC_29098_16S_ribosomal_RNA_gene_complete_sequence_organism_Desulfovibrio_piger_taxonomy_Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_ncbitaxid_901,1.0,1.0,7.0,1.0,5.0
CC11CM0SCR1cfc4024617f454881035fb1bfd55cbc_From_ABEZ02000021_84162_85652_description_ABEZ02000021_84162_85652_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Intestinibacter_Intestinibacter_bartlettii_DSM_16795_organism_Intestinibacter_bartlettii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Intestinibacter_ncbitaxid_445973,3.0,8.0,11.0,10.0,7.0
CC11CM72SCRa00c73fedf424b818bf231c3a32a2b5c_From_AJ867043_1_1457_description_AJ867043_1_1457_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_vulgatus_organism_Bacteroides_vulgatus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_821,3.0,3.0,1.0,7.0,1.0
CC11CM11SCRe2c51dda97c846c7948f7aefede00468_From_AB661433_1_1495_description_AB661433_1_1495_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_Roseburia_faecis_organism_Roseburia_faecis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_ncbitaxid_301302,5.0,5.0,10.0,1.0,9.0
CC11CM81SCR3cb9175560cd432fabd09fd5094e27ce_From_NR117566_1_description_Peptoniphilus_indolicus_strain_ATCC_29427_16S_ribosomal_RNA_gene_partial_sequence_organism_Peptoniphilus_indolicus_ATCC_29427_taxonomy_Bacteria_Firmicutes_Tissierellia_Tissierellales_Peptoniphilaceae_Peptoniphilus_ncbitaxid_997350,7.0,7.0,1.0,3.0,11.0
CC11CM79SCR659a0ef2a48b42ecadb12caee890a412_From_JX965382_1_1531_description_JX965382_1_1531_Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_Desulfovibrio_multispirans_organism_Desulfovibrio_multispirans_taxonomy_Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_ncbitaxid_32018,5.0,4.0,7.0,1.0,5.0
CC11CM95SCR8c13294683544bbe82f186be9c9c2930_From_NR125463_1_description_Bacteroides_luti_strain_UasXn_3_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_luti_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_1297750,1.0,1.0,1.0,1.0,1.0
CC11CM4SCRaa63fc9704fd4e948d0659598697bd27_From_CDQV01000608_414_1935_description_CDQV01000608_414_1935_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_Citrobacter_amalonaticus_organism_Citrobacter_amalonaticus_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_ncbitaxid_35703,11.0,4.0,7.0,1.0,5.0
CC11CM7SCR7123e1a9fd194aec8188ef2208898676_From_AJ832129_1_1391_description_AJ832129_1_1391_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Alcaligenaceae_Sutterella_Sutterella_morbirenis_organism_Sutterella_morbirenis_taxonomy_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Alcaligenaceae_Sutterella_ncbitaxid_293545,1.0,1.0,15.0,3.0,1.0
CC11CM26SCR98996072b82a4928a2fd8bf0dc400bf9_From_AB200217_1_1490_description_AB200217_1_1490_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_plebeius_organism_Bacteroides_plebeius_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_310297,1.0,7.0,6.0,7.0,1.0
CC11CM51SCR32fb617d9b59491880d37232d233f43d_From_AVJS01000012_249_1737_description_AVJS01000012_249_1737_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_Peptoclostridium_difficile_DA00203_organism_Peptoclostridium_difficile_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_ncbitaxid_1151344,3.0,7.0,11.0,10.0,5.0
CC11CM83SCR1ff3adb6ebd84372913524df3544f86a_From_NR025569_1_description_Escherichia_albertii_strain_Albert_19982_16S_ribosomal_RNA_gene_partial_sequence_organism_Escherichia_albertii_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_ncbitaxid_208962,1.0,6.0,1.0,5.0,5.0
CC11CM38SCR3a2a312d345a4b43a0816cb36c98a62b_From_AB574481_1_1484_description_AB574481_1_1484_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_stercorirosoris_organism_Bacteroides_stercorirosoris_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_871324,3.0,4.0,3.0,3.0,1.0
CC11CM37SCRfc409a29b67045118dc8a37c0bd9ff93_From_AEIZ01000004_421_1967_description_AEIZ01000004_421_1967_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_Leuconostoc_fallax_KCTC_3537_organism_Leuconostoc_fallax_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_ncbitaxid_907931,3.0,5.0,5.0,3.0,1.0
CC11CM49SCR0e07098bbf1c424281d22f976c378d67_From_NR104940_1_description_Escherichia_hermannii_strain_CIP_103176_16S_ribosomal_RNA_partial_sequence_organism_Escherichia_hermannii_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_ncbitaxid_565,20.0,20.0,8.0,1.0,5.0
CC11CM48SCR9ad3329ed29b4de08cb7dba642c41e69_From_NR113231_1_description_Blautia_glucerasea_strain_JCM_17039_16S_ribosomal_RNA_gene_partial_sequence_organism_Blautia_glucerasea_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_536633,9.0,8.0,5.0,1.0,11.0
CC11CM52SCR74a1749cd630423391686fee455d7784_From_NR115345_1_description_Clostridium_alkalicellulosi_strain_Z_7026_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_alkalicellulosi_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_ncbitaxid_320502,1.0,7.0,3.0,3.0,11.0
CC11CM10SCR6f01d8dc06dc4fbfb03ebbdf2534964a_From_ACDD01000078_43_1394_description_ACDD01000078_43_1394_Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_Fusobacterium_gonidiaformans_3_1_5R_organism_Fusobacterium_gonidiaformans_taxonomy_Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_ncbitaxid_848,3.0,1.0,1.0,20.0,17.0
CC11CM40SCRe253024c6ee246db898cd8f23cfcf87b_From_FJ947528_1_1381_description_FJ947528_1_1381_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerostipes_Anaerostipes_butyraticus_organism_Anaerostipes_butyraticus_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerostipes_ncbitaxid_645466,1.0,1.0,3.0,3.0,11.0
CC11CM26SCR20bf4658204a4d448685991e57ac03c8_From_CP002530_3176529_3178048_description_CP002530_3176529_3178048_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_salanitronis_DSM_18170_organism_Bacteroides_salanitronis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_667015,1.0,1.0,8.0,7.0,1.0
CC11CM16SCR648696253e0a4b59a0c274a7fe092cbf_From_AGEL01000013_110320_111838_description_AGEL01000013_110320_111838_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum_Stomatobaculum_longum_organism_Stomatobaculum_longum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum_ncbitaxid_796942,7.0,7.0,2.0,1.0,11.0
CC11CM4SCR2091d955605f42d39cdcf828c412ea82_From_JMLH01000122_103_1607_description_JMLH01000122_103_1607_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_Clostridium_saccharogumia_DSM_17460_organism_Erysipelatoclostridium_taxonomy_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_ncbitaxid_1505663,3.0,1.0,3.0,13.0,3.0
CC11CM32SCRd402752862a24a0da264541fa732a6fd_From_ABFX02000008_225014_226528_description_ABFX02000008_225014_226528_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_Erysipelatoclostridium_ramosum_DSM_1402_organism_Erysipelatoclostridium_ramosum_taxonomy_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_ncbitaxid_445974,6.0,1.0,3.0,13.0,3.0
CC11CM40SCRbdfd85c604f94b7688b721cc1c3be983_From_AQOB01000015_415037_416554_description_AQOB01000015_415037_416554_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_Butyricicoccus_pullicaecorum_1_2_organism_Butyricicoccus_pullicaecorum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_ncbitaxid_580596,5.0,1.0,3.0,3.0,2.0
CC11CM80SCRa74f0b80dcb345c38b719b8a1893f4a9_From_HQ263024_1_1386_description_HQ263024_1_1386_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_Leuconostoc_miyukkimchii_organism_Leuconostoc_miyukkimchii_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_ncbitaxid_910540,8.0,3.0,5.0,3.0,2.0
CC11CM15SCR8f5a1f15f0e64b15a35cc34393e1382b_From_CP002352_203874_205386_description_CP002352_203874_205386_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_helcogenes_P_36_108_organism_Bacteroides_helcogenes_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_816,1.0,1.0,5.0,3.0,3.0
CC11CM29SCR3b17565297fc449fa5fb25de2f30dde6_From_AF349724_1_1508_description_AF349724_1_1508_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Turicibacter_Turicibacter_sanguinis_organism_Turicibacter_sanguinis_taxonomy_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Turicibacter_ncbitaxid_154288,1.0,1.0,1.0,9.0,1.0
CC11CM98SCRa380cdde335a44c18802c2549e004dc6_From_AB904775_1_1438_description_AB904775_1_1438_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_Leuconostoc_holzapfelii_organism_Leuconostoc_holzapfelii_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_ncbitaxid_434464,7.0,3.0,1.0,3.0,9.0
CC11CM45SCR53085e2391c048569180e80e0d211196_From_FP929050_3523936_3525456_description_FP929050_3523936_3525456_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_Roseburia_intestinalis_XB6B4_organism_Roseburia_intestinalis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_ncbitaxid_718255,5.0,4.0,7.0,3.0,9.0
CC11CM16SCR7b8cc264169f4d91ba165af7e3e8513e_From_AENT01000008_101_1407_description_AENT01000008_101_1407_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_Dialister_microaerophilus_UPII_345_E_organism_Dialister_microaerophilus_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_ncbitaxid_39948,1.0,1.0,3.0,14.0,11.0
CC11CM91SCR12b22dcc1b24410b81d348ef5bdd208c_From_HQ259720_1_1451_description_HQ259720_1_1451_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium_bifidum_organism_Bifidobacterium_bifidum_taxonomy_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_ncbitaxid_1681,1.0,1.0,1.0,8.0,3.0
CC11CM83SCR9bef95e1a3f74761baa853a35f51d55b_From_JNHO01000005_3368_4880_description_JNHO01000005_3368_4880_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_uniformis_str_3978_T3_i_organism_Bacteroides_uniformis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_816,9.0,8.0,3.0,3.0,1.0
CC11CM83SCR6b080ecc3b2a491dbbacdb5921bceeed_From_NR113208_1_description_Parabacteroides_chinchillae_strain_JCM_17104_16S_ribosomal_RNA_gene_partial_sequence_organism_Parabacteroides_chinchillae_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_ncbitaxid_871327,1.0,7.0,1.0,1.0,1.0
CC11CM5SCRbd057ea243144cdb8c5e263d23803096_From_EF108444_1_1344_description_EF108444_1_1344_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella_Veillonella_rogosae_organism_Veillonella_rogosae_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella_ncbitaxid_423477,13.0,11.0,1.0,19.0,13.0
CC11CM43SCR7da1e004524443d39a0aec9ccb524c59_From_NG041947_1_description_Clostridium_cellulolyticum_strain_H10_16S_ribosomal_RNA_gene_complete_sequence_organism_Clostridium_cellulolyticum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_ncbitaxid_1521,6.0,3.0,1.0,5.0,11.0
CC11CM31SCR31a332084ec04ac28cff588d7752c9ae_From_CP004409_310245_311804_description_CP004409_310245_311804_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus_oligofermentans_AS_1_3089_organism_Streptococcus_oligofermentans_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_ncbitaxid_1301,12.0,15.0,5.0,3.0,1.0
CC11CM89SCR5e9aa50f9fbe4ef4a61362595fc0b741_From_GM884226_1_1485_description_GM884226_1_1485_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_denticanum_organism_Bacteroides_denticanum_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_266833,1.0,1.0,4.0,3.0,1.0
CC11CM66SCR56f3a0fbab0c45228789f750754064e7_From_AB260025_1_1492_description_AB260025_1_1492_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_coprophilus_organism_Bacteroides_coprophilus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_387090,1.0,3.0,8.0,7.0,1.0
CC11CM11SCRddb4a69475894781ae47bcaf24a275a3_From_NR125589_1_description_Alistipes_timonensis_strain_JC136_16S_ribosomal_RNA_gene_partial_sequence_organism_Alistipes_timonensis_JC136_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_ncbitaxid_1033731,1.0,3.0,11.0,6.0,1.0
CC11CM6SCR3bc62897657f4af287848c72405d34ee_From_NR104846_1_description_Gemmiger_formicilis_strain_X2_56_16S_ribosomal_RNA_gene_partial_sequence_organism_Gemmiger_formicilis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger_ncbitaxid_745368,1.0,1.0,1.0,1.0,10.0
CC11CM79SCRa6107d43f09c4e67bbf1cb66d8aa019d_From_AY574991_1_1453_description_AY574991_1_1453_Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Catabacter_Catabacter_hongkongensis_organism_Catabacter_hongkongensis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Catabacter_ncbitaxid_270498,3.0,20.0,3.0,7.0,4.0
CC11CM55SCR78f603e85ef249fe92797722bfeba523_From_HQ457024_1_1469_description_HQ457024_1_1469_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacterium_prausnitzii_organism_Faecalibacterium_prausnitzii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_ncbitaxid_853,1.0,1.0,1.0,1.0,17.0
CC11CM8SCR90e8be7de56542d698c2a3b9c036ac98_From_NR126195_1_description_Butyricimonas_paravirosa_strain_214_4_16S_ribosomal_RNA_gene_partial_sequence_organism_Butyricimonas_paravirosa_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Butyricimonas_ncbitaxid_1472417,3.0,1.0,20.0,11.0,1.0
CC11CM34SCR02793080187d4e0db0c6ff8229a13102_From_AB064919_1_1492_description_AB064919_1_1492_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_coprophilus_organism_Bacteroides_coprophilus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_387090,1.0,3.0,8.0,7.0,1.0
CC11CM92SCR7ce7ce1e64244a2c95c26139095de74c_From_ABFK02000017_223676_225190_description_ABFK02000017_223676_225190_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes_putredinis_DSM_17216_organism_Alistipes_putredinis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_ncbitaxid_445970,5.0,3.0,11.0,7.0,1.0
CC11CM54SCR289ed9e8290f429fb17fc733002e1531_From_AB510703_1_1478_description_AB510703_1_1478_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_massiliensis_organism_Bacteroides_massiliensis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_204516,3.0,1.0,1.0,6.0,1.0
CC11CM18SCRa240783cd3b34129bed7c60bcbea159a_From_AGEL01000016_15703_17221_description_AGEL01000016_15703_17221_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum_Stomatobaculum_longum_organism_Stomatobaculum_longum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum_ncbitaxid_796942,7.0,7.0,2.0,1.0,11.0
CC11CM6SCRdb7362e1ca734f8c97423edc86dc5f79_From_AB214328_1_1484_description_AB214328_1_1484_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_intestinalis_organism_Bacteroides_intestinalis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_329854,2.0,4.0,3.0,3.0,1.0
CC11CM27SCR16bae21fd65a42c89a30d48db81fd01e_From_JQ346729_1_1360_description_JQ346729_1_1360_Bacteria_Lentisphaerae_Lentisphaeria_Victivallales_Victivallaceae_Victivallis_Victivallis_vadensis_ATCC_BAA_548_organism_Victivallis_vadensis_taxonomy_Bacteria_Lentisphaerae_Lentisphaeria_Victivallales_Victivallaceae_Victivallis_ncbitaxid_172900,13.0,12.0,15.0,4.0,1.0
CC11CM9SCRa86b1312f47d40cea2409df33eb5ebfc_From_NR102513_1_description_Clostridium_stercorarium_strain_DSM_8532_16S_ribosomal_RNA_gene_complete_sequence_organism_Clostridium_stercorarium_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_ncbitaxid_1510,3.0,1.0,3.0,5.0,7.0
CC11CM41SCR8aeedf10c9594f849d8b55f50990f93d_From_CP004409_310245_311804_description_CP004409_310245_311804_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus_oligofermentans_AS_1_3089_organism_Streptococcus_oligofermentans_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_ncbitaxid_1301,12.0,15.0,5.0,3.0,1.0
CC11CM68SCR8ed9a6729ff141bbb6f995eb7aa45c4e_From_NR041887_1_description_Clostridium_caminithermale_strain_DVird3_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_caminithermale_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_ncbitaxid_191027,1.0,1.0,6.0,12.0,10.0
CC11CM88SCR54044078b6914ccb89627e0ff9e97878_From_NR118352_1_description_Victivallis_vadensis_strain_Cello_16S_ribosomal_RNA_gene_partial_sequence_organism_Victivallis_vadensis_ATCC_BAA_548_taxonomy_Bacteria_Lentisphaerae_Lentisphaeria_Victivallales_Victivallaceae_Victivallis_ncbitaxid_340101,13.0,12.0,15.0,4.0,1.0
CC11CM61SCR62e4cc16c6e248b1b9ba6d76e8e98a97_From_NR104940_1_description_Escherichia_hermannii_strain_CIP_103176_16S_ribosomal_RNA_partial_sequence_organism_Escherichia_hermannii_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_ncbitaxid_565,20.0,20.0,8.0,1.0,5.0
